year,territory,lambs,rams,ewes,lamb_sheep_shorn,sheep_flock,sheep_purchased,cats_occurrence_total,cats_2013_forest,cats_2013_non_forest,cats_2018_forest,cats_2018_non_forest,eco_cost_total,eco_cost_cat_only,eco_cost_cat_plus_other,eco_sector_agriculture,eco_sector_authorities_stakeholders,eco_sector_environment,eco_sector_health,eco_type_control,eco_type_control_education,eco_type_control_medical_care,eco_type_control_prevention,eco_type_damage_loss,eco_type_eradication,eco_type_prevention
2006,Western Australia,3321.0,168.0,5627.0,10758.0,10244.0,1492.0,,,,,,,,,,,,,,,,,,,
2007,All Australia,10229.0,600.0,23986.0,45758.0,39764.0,3128.0,440.0,154.0,286.0,156.0,284.0,,,,,,,,,,,,,,
2007,New South Wales,2476.0,110.0,5701.0,10074.0,9484.0,932.0,107.0,57.0,50.0,56.0,51.0,,,,,,,,,,,,,,
2007,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,3.0,5.0,,,,,,,,,,,,,,
2007,Queensland,1130.0,81.0,2739.0,6087.0,4940.0,231.0,15.0,11.0,4.0,11.0,4.0,,,,,,,,,,,,,,
2007,South Australia,2593.0,132.0,5488.0,9259.0,8709.0,609.0,222.0,21.0,201.0,22.0,200.0,,,,,,,,,,,,,,
2007,Tasmania,542.0,24.0,1041.0,2832.0,1980.0,83.0,,,,,,,,,,,,,,,,,,,
2007,Victoria,1237.0,62.0,2386.0,4557.0,4142.0,677.0,88.0,63.0,25.0,64.0,24.0,,,,,,,,,,,,,,
2007,Western Australia,2251.0,191.0,6631.0,12949.0,10509.0,596.0,,,,,,,,,,,,,,,,,,,
2008,All Australia,9479.0,540.0,21901.0,37416.0,36377.0,2305.0,273.0,155.0,118.0,159.0,114.0,,,,,,,,,,,,,,
2008,New South Wales,2459.0,115.0,5467.0,9457.0,9142.0,543.0,72.0,46.0,26.0,49.0,23.0,,,,,,,,,,,,,,
2008,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,9.0,1.0,10.0,,,,,,,,,,,,,,
2008,Queensland,1060.0,96.0,2901.0,4981.0,5210.0,261.0,15.0,10.0,5.0,8.0,7.0,,,,,,,,,,,,,,
2008,South Australia,2343.0,108.0,5073.0,8631.0,8158.0,418.0,63.0,6.0,57.0,7.0,56.0,,,,,,,,,,,,,,
2008,Tasmania,414.0,27.0,950.0,1983.0,1665.0,99.0,,,,,,,,,,,,,,,,,,,
2008,Victoria,1269.0,55.0,2443.0,4442.0,4237.0,458.0,107.0,91.0,16.0,94.0,13.0,,,,,,,,,,,,,,
2008,Western Australia,1934.0,139.0,5067.0,7922.0,7965.0,526.0,4.0,0.0,4.0,0.0,4.0,,,,,,,,,,,,,,
