Publication_year,Species,Common_name,Official_country,State|Province|Administrative_area,Location,Cost_estimate_per_year_2017_USD_exchange_rate,Applicable_year,Impacted_sector,Type_of_cost,Details
2014,Felis catus/Oryctolagus cuniculus/Vulpes vulpes,Cat/Red fox/Rabbit,Australia,Unspecified,Mulligan Flat,1213341.24100308,2014,Authorities-Stakeholders,Prevention,"11.5 km long fence, encloses 485 Ha to protect plants. Enclosure has facilitated the removal of pest vertebrate predators, including foxes and cats. The enclosed rabbit population has also been targeted and has been dramatically reduced. Also limits the number of kangaroos (over grazing). "
2006,Felis catus,Feral Cat,Australia,Unspecified,Macquarie Island,3139773.66353342,2003,Authorities-Stakeholders,Eradication,"[Copson, 2006, Personal communication] original reports not found (grey litterature), but the review seems good. Prices reajusted to US$ 2003"
2009,Felis catus,Feral cats,Australia,Unspecified,New South Wales,133695.179298494,2008,Authorities-Stakeholders,Control/Prevention,"Expenditures on management, administration, and research (conservation estate). Table 4.4 ""Allocation of expenditures by pest, for the year 2007–08 ($m)"". Details in the text. "
2009,Felis catus,Feral cats,Australia,Unspecified,South Australia,71622.417481336,2008,Authorities-Stakeholders,Control/Prevention,"Expenditures on management, administration, and research. Table 4.4 ""Allocation of expenditures by pest, for the year 2007–08 ($m)"". Details in the text. "
2009,Felis catus,Feral cats,Australia,Unspecified,Western Australia,630277.273835756,2008,Authorities-Stakeholders,Control/Prevention,"Expenditures on management, administration, and research (agriculture). Table 4.4 ""Allocation of expenditures by pest, for the year 2007–08 ($m)"". Details in the text. "
2009,Felis catus,Feral cats,Australia,Unspecified,Western Australia,1575693.18458939,2008,Authorities-Stakeholders,Control/Prevention,"Expenditures on management, administration, and research (conservation estate). Table 4.4 ""Allocation of expenditures by pest, for the year 2007–08 ($m)"". Details in the text. 
The $1.650m for the feral cats in WA conservation estate comprises expenditure on direct management and on one year of the cat mesopredator work"
2004,Felis catus,Feral Cat,Australia,Unspecified,Diverse/Unspecified,715790.234048007,2004,Authorities-Stakeholders,Control,Labour cost of animal control
2012,Felis catus,Feral Cat,Australia,Unspecified,Kimberly,193449.68063903,2012,Authorities-Stakeholders,Control/Education,"Ceasing the poison-baiting of dingoes on pastoral land (intact populations of Canis lupis dingo, a naturalized canid and Australia’s top terrestrial predator, regulate cat activity (Glen et al. 2007; Kennedy et al. 2011), education on the role of dingoes in trophic regulation, and cat spaying programs) based on expert elicitation"
2014,Diverse/Unspecified,Predators (cats and foxes),Australia,Unspecified,Aride zone of Australia,2022.930946111,2012,Authorities-Stakeholders,Control,"Most cost-efficient fence to protect bilbies against predators if enough land is available to reach the optimal separation of 40km between two fences. Cost includes eradication cost, maintenance,  monitoring, construction cost). Comparison with other fence (ex single fence = $3000 (95% probabilities) to  $8000 / bilby / year (5% probability)"
2012,Felis catus/Canis lupus,Feral cats/Dingoes,Australia,Unspecified,"Lorna Glen (Matuwa Conservation Park, Western Australia)",119544.164647695,2012,Authorities-Stakeholders,Control,"cost per km = 9683
Prediction of the optimal solution : a fence that was predicted to cost AU$108 143 and AU$6566/year to maintain (paddock A+G and A+H = 10,6 km perimeter, or 543 Ha) +++ other scenarios"
