Date,Series,Value
2018-11-14,Total Monitored Articles,628939
2018-11-15,Article Count,1
2018-11-15,Total Monitored Articles,636329
2018-11-16,Article Count,1
2018-11-16,Total Monitored Articles,590677
2018-11-17,Article Count,0
2018-11-17,Total Monitored Articles,378415
2018-11-18,Article Count,0
2018-11-18,Total Monitored Articles,335717
2018-11-19,Article Count,2
2018-11-19,Total Monitored Articles,549638
2018-11-20,Article Count,2
2018-11-20,Total Monitored Articles,601238
2018-11-21,Article Count,0
2018-11-21,Total Monitored Articles,608585
2018-11-22,Article Count,14
2018-11-22,Total Monitored Articles,554027
2018-11-23,Article Count,0
2018-11-23,Total Monitored Articles,532334
2018-11-24,Article Count,0
2018-11-24,Total Monitored Articles,363532
2018-11-25,Article Count,2
2018-11-25,Total Monitored Articles,341608
2018-11-26,Article Count,1
2018-11-26,Total Monitored Articles,563793
2018-11-27,Article Count,0
2018-11-27,Total Monitored Articles,606893
2018-11-28,Article Count,2
2018-11-28,Total Monitored Articles,619751
2018-11-29,Article Count,0
2018-11-29,Total Monitored Articles,619323
2018-11-30,Article Count,1
2018-11-30,Total Monitored Articles,584655
2018-12-01,Article Count,0
2018-12-01,Total Monitored Articles,384865
2018-12-02,Article Count,0
2018-12-02,Total Monitored Articles,330718
2018-12-03,Article Count,0
2018-12-03,Total Monitored Articles,561859
2018-12-04,Article Count,0
2018-12-04,Total Monitored Articles,606402
2018-12-05,Article Count,0
2018-12-05,Total Monitored Articles,613720
2018-12-06,Article Count,0
2018-12-06,Total Monitored Articles,600825
2018-12-07,Article Count,0
2018-12-07,Total Monitored Articles,562547
2018-12-08,Article Count,0
2018-12-08,Total Monitored Articles,354648
2018-12-09,Article Count,0
2018-12-09,Total Monitored Articles,319575
2018-12-10,Article Count,0
2018-12-10,Total Monitored Articles,531354
2018-12-11,Article Count,3
2018-12-11,Total Monitored Articles,579106
2018-12-12,Article Count,4
2018-12-12,Total Monitored Articles,587921
2018-12-13,Article Count,0
2018-12-13,Total Monitored Articles,546141
2018-12-14,Article Count,1
2018-12-14,Total Monitored Articles,552965
2018-12-15,Article Count,0
2018-12-15,Total Monitored Articles,352179
2018-12-16,Article Count,0
2018-12-16,Total Monitored Articles,312822
2018-12-17,Article Count,2
2018-12-17,Total Monitored Articles,515618
2018-12-18,Article Count,1
2018-12-18,Total Monitored Articles,551086
2018-12-19,Article Count,0
2018-12-19,Total Monitored Articles,575539
2018-12-20,Article Count,0
2018-12-20,Total Monitored Articles,577643
2018-12-21,Article Count,1
2018-12-21,Total Monitored Articles,484049
2018-12-22,Article Count,0
2018-12-22,Total Monitored Articles,341788
2018-12-23,Article Count,0
2018-12-23,Total Monitored Articles,298194
2018-12-24,Article Count,0
2018-12-24,Total Monitored Articles,386264
2018-12-25,Article Count,0
2018-12-25,Total Monitored Articles,316719
2018-12-26,Article Count,0
2018-12-26,Total Monitored Articles,388842
2018-12-27,Article Count,0
2018-12-27,Total Monitored Articles,462463
2018-12-28,Article Count,1
2018-12-28,Total Monitored Articles,463174
2018-12-29,Article Count,0
2018-12-29,Total Monitored Articles,332688
2018-12-30,Article Count,2
2018-12-30,Total Monitored Articles,292052
2018-12-31,Article Count,0
2018-12-31,Total Monitored Articles,365143
2019-01-01,Article Count,0
2019-01-01,Total Monitored Articles,297788
2019-01-02,Article Count,2
2019-01-02,Total Monitored Articles,446886
2019-01-03,Article Count,1
2019-01-03,Total Monitored Articles,500956
2019-01-04,Article Count,1
2019-01-04,Total Monitored Articles,488089
2019-01-05,Article Count,1
2019-01-05,Total Monitored Articles,323797
2019-01-06,Article Count,1
2019-01-06,Total Monitored Articles,302169
2019-01-07,Article Count,0
2019-01-07,Total Monitored Articles,492100
2019-01-08,Article Count,7
2019-01-08,Total Monitored Articles,535742
2019-01-09,Article Count,0
2019-01-09,Total Monitored Articles,565657
2019-01-10,Article Count,1
2019-01-10,Total Monitored Articles,567058
2019-01-11,Article Count,0
2019-01-11,Total Monitored Articles,544305
2019-01-12,Article Count,0
2019-01-12,Total Monitored Articles,346849
2019-01-13,Article Count,5
2019-01-13,Total Monitored Articles,314670
2019-01-14,Article Count,0
2019-01-14,Total Monitored Articles,524137
2019-01-15,Article Count,0
2019-01-15,Total Monitored Articles,564620
2019-01-16,Article Count,2
2019-01-16,Total Monitored Articles,580093
2019-01-17,Article Count,1
2019-01-17,Total Monitored Articles,574929
2019-01-18,Article Count,0
2019-01-18,Total Monitored Articles,538498
2019-01-19,Article Count,1
2019-01-19,Total Monitored Articles,356035
2019-01-20,Article Count,1
2019-01-20,Total Monitored Articles,313260
2019-01-21,Article Count,0
2019-01-21,Total Monitored Articles,495595
2019-01-22,Article Count,0
2019-01-22,Total Monitored Articles,557644
2019-01-23,Article Count,0
2019-01-23,Total Monitored Articles,578855
2019-01-24,Article Count,0
2019-01-24,Total Monitored Articles,576494
2019-01-25,Article Count,0
2019-01-25,Total Monitored Articles,544704
2019-01-26,Article Count,0
2019-01-26,Total Monitored Articles,342267
2019-01-27,Article Count,1
2019-01-27,Total Monitored Articles,316053
2019-01-28,Article Count,1
2019-01-28,Total Monitored Articles,532393
2019-01-29,Article Count,0
2019-01-29,Total Monitored Articles,586242
2019-01-30,Article Count,0
2019-01-30,Total Monitored Articles,593067
2019-01-31,Article Count,1
2019-01-31,Total Monitored Articles,591396
2019-02-01,Article Count,0
2019-02-01,Total Monitored Articles,560733
2019-02-02,Article Count,0
2019-02-02,Total Monitored Articles,358236
2019-02-03,Article Count,2
2019-02-03,Total Monitored Articles,322356
2019-02-04,Article Count,0
2019-02-04,Total Monitored Articles,510826
2019-02-05,Article Count,0
2019-02-05,Total Monitored Articles,560013
2019-02-06,Article Count,0
2019-02-06,Total Monitored Articles,578420
2019-02-07,Article Count,0
2019-02-07,Total Monitored Articles,571544
2019-02-08,Article Count,0
2019-02-08,Total Monitored Articles,543911
2019-02-09,Article Count,0
2019-02-09,Total Monitored Articles,348465
2019-02-10,Article Count,0
2019-02-10,Total Monitored Articles,314312
2019-02-11,Article Count,0
2019-02-11,Total Monitored Articles,533288
2019-02-12,Article Count,1
2019-02-12,Total Monitored Articles,575296
2019-02-13,Article Count,1
2019-02-13,Total Monitored Articles,588406
2019-02-14,Article Count,1
2019-02-14,Total Monitored Articles,594775
2019-02-15,Article Count,1
2019-02-15,Total Monitored Articles,556029
2019-02-16,Article Count,1
2019-02-16,Total Monitored Articles,357088
2019-02-17,Article Count,0
2019-02-17,Total Monitored Articles,311312
2019-02-18,Article Count,0
2019-02-18,Total Monitored Articles,496431
2019-02-19,Article Count,6
2019-02-19,Total Monitored Articles,567800
2019-02-20,Article Count,2
2019-02-20,Total Monitored Articles,590282
2019-02-21,Article Count,0
2019-02-21,Total Monitored Articles,591398
2019-02-22,Article Count,0
2019-02-22,Total Monitored Articles,559136
2019-02-23,Article Count,0
2019-02-23,Total Monitored Articles,357936
2019-02-24,Article Count,1
2019-02-24,Total Monitored Articles,327993
2019-02-25,Article Count,3
2019-02-25,Total Monitored Articles,553023
2019-02-26,Article Count,3
2019-02-26,Total Monitored Articles,577907
2019-02-27,Article Count,2
2019-02-27,Total Monitored Articles,594100
2019-02-28,Article Count,0
2019-02-28,Total Monitored Articles,595251
2019-03-01,Article Count,0
2019-03-01,Total Monitored Articles,559164
2019-03-02,Article Count,1
2019-03-02,Total Monitored Articles,345335
2019-03-03,Article Count,0
2019-03-03,Total Monitored Articles,322812
2019-03-04,Article Count,1
2019-03-04,Total Monitored Articles,529873
2019-03-05,Article Count,0
2019-03-05,Total Monitored Articles,567060
2019-03-06,Article Count,5
2019-03-06,Total Monitored Articles,562602
2019-03-07,Article Count,0
2019-03-07,Total Monitored Articles,582300
2019-03-08,Article Count,2
2019-03-08,Total Monitored Articles,540030
2019-03-09,Article Count,2
2019-03-09,Total Monitored Articles,345346
2019-03-10,Article Count,0
2019-03-10,Total Monitored Articles,324986
2019-03-11,Article Count,0
2019-03-11,Total Monitored Articles,534250
2019-03-12,Article Count,0
2019-03-12,Total Monitored Articles,589422
2019-03-13,Article Count,1
2019-03-13,Total Monitored Articles,580276
2019-03-14,Article Count,0
2019-03-14,Total Monitored Articles,588363
2019-03-15,Article Count,0
2019-03-15,Total Monitored Articles,571667
2019-03-16,Article Count,0
2019-03-16,Total Monitored Articles,349991
2019-03-17,Article Count,2
2019-03-17,Total Monitored Articles,317112
2019-03-18,Article Count,0
2019-03-18,Total Monitored Articles,533461
2019-03-19,Article Count,1
2019-03-19,Total Monitored Articles,590222
2019-03-20,Article Count,0
2019-03-20,Total Monitored Articles,597835
2019-03-21,Article Count,0
2019-03-21,Total Monitored Articles,583386
2019-03-22,Article Count,0
2019-03-22,Total Monitored Articles,559782
2019-03-23,Article Count,0
2019-03-23,Total Monitored Articles,361090
2019-03-24,Article Count,0
2019-03-24,Total Monitored Articles,324381
2019-03-25,Article Count,0
2019-03-25,Total Monitored Articles,540917
2019-03-26,Article Count,1
2019-03-26,Total Monitored Articles,583705
2019-03-27,Article Count,0
2019-03-27,Total Monitored Articles,597502
2019-03-28,Article Count,0
2019-03-28,Total Monitored Articles,596163
2019-03-29,Article Count,0
2019-03-29,Total Monitored Articles,571705
2019-03-30,Article Count,0
2019-03-30,Total Monitored Articles,359128
2019-03-31,Article Count,0
2019-03-31,Total Monitored Articles,336067
2019-04-01,Article Count,0
2019-04-01,Total Monitored Articles,547471
2019-04-02,Article Count,0
2019-04-02,Total Monitored Articles,590482
2019-04-03,Article Count,0
2019-04-03,Total Monitored Articles,584430
2019-04-04,Article Count,1
2019-04-04,Total Monitored Articles,596143
2019-04-05,Article Count,3
2019-04-05,Total Monitored Articles,541945
2019-04-06,Article Count,1
2019-04-06,Total Monitored Articles,350724
2019-04-07,Article Count,0
2019-04-07,Total Monitored Articles,321289
2019-04-08,Article Count,4
2019-04-08,Total Monitored Articles,543963
2019-04-09,Article Count,1
2019-04-09,Total Monitored Articles,591837
2019-04-10,Article Count,0
2019-04-10,Total Monitored Articles,606251
2019-04-11,Article Count,0
2019-04-11,Total Monitored Articles,597315
2019-04-12,Article Count,1
2019-04-12,Total Monitored Articles,565707
2019-04-13,Article Count,1
2019-04-13,Total Monitored Articles,356382
2019-04-14,Article Count,1
2019-04-14,Total Monitored Articles,323587
2019-04-15,Article Count,2
2019-04-15,Total Monitored Articles,539012
2019-04-16,Article Count,0
2019-04-16,Total Monitored Articles,581678
2019-04-17,Article Count,3
2019-04-17,Total Monitored Articles,596862
2019-04-18,Article Count,2
2019-04-18,Total Monitored Articles,573699
2019-04-19,Article Count,9
2019-04-19,Total Monitored Articles,484049
2019-04-20,Article Count,9
2019-04-20,Total Monitored Articles,336078
2019-04-21,Article Count,1
2019-04-21,Total Monitored Articles,313462
2019-04-22,Article Count,2
2019-04-22,Total Monitored Articles,479179
2019-04-23,Article Count,4
2019-04-23,Total Monitored Articles,563830
2019-04-24,Article Count,0
2019-04-24,Total Monitored Articles,591325
2019-04-25,Article Count,0
2019-04-25,Total Monitored Articles,584120
2019-04-26,Article Count,1
2019-04-26,Total Monitored Articles,562597
2019-04-27,Article Count,0
2019-04-27,Total Monitored Articles,352776
2019-04-28,Article Count,0
2019-04-28,Total Monitored Articles,332695
2019-04-29,Article Count,6
2019-04-29,Total Monitored Articles,522861
2019-04-30,Article Count,1
2019-04-30,Total Monitored Articles,570267
2019-05-01,Article Count,0
2019-05-01,Total Monitored Articles,485506
2019-05-02,Article Count,0
2019-05-02,Total Monitored Articles,549026
2019-05-03,Article Count,2
2019-05-03,Total Monitored Articles,530092
2019-05-04,Article Count,0
2019-05-04,Total Monitored Articles,355768
2019-05-05,Article Count,0
2019-05-05,Total Monitored Articles,341957
2019-05-06,Article Count,11
2019-05-06,Total Monitored Articles,515301
2019-05-07,Article Count,0
2019-05-07,Total Monitored Articles,574256
2019-05-08,Article Count,3
2019-05-08,Total Monitored Articles,582183
2019-05-09,Article Count,1
2019-05-09,Total Monitored Articles,577844
2019-05-10,Article Count,4
2019-05-10,Total Monitored Articles,554114
2019-05-11,Article Count,1
2019-05-11,Total Monitored Articles,350696
2019-05-12,Article Count,0
2019-05-12,Total Monitored Articles,317985
2019-05-13,Article Count,0
2019-05-13,Total Monitored Articles,536102
2019-05-14,Article Count,2
2019-05-14,Total Monitored Articles,585896
2019-05-15,Article Count,0
2019-05-15,Total Monitored Articles,591221
2019-05-16,Article Count,0
2019-05-16,Total Monitored Articles,591207
2019-05-17,Article Count,0
2019-05-17,Total Monitored Articles,556159
2019-05-18,Article Count,0
2019-05-18,Total Monitored Articles,353256
2019-05-19,Article Count,0
2019-05-19,Total Monitored Articles,325667
2019-05-20,Article Count,0
2019-05-20,Total Monitored Articles,527535
2019-05-21,Article Count,2
2019-05-21,Total Monitored Articles,572682
2019-05-22,Article Count,3
2019-05-22,Total Monitored Articles,586055
2019-05-23,Article Count,2
2019-05-23,Total Monitored Articles,586614
2019-05-24,Article Count,1
2019-05-24,Total Monitored Articles,554998
2019-05-25,Article Count,0
2019-05-25,Total Monitored Articles,345474
2019-05-26,Article Count,1
2019-05-26,Total Monitored Articles,339260
2019-05-27,Article Count,0
2019-05-27,Total Monitored Articles,485161
2019-05-28,Article Count,0
2019-05-28,Total Monitored Articles,552153
2019-05-29,Article Count,0
2019-05-29,Total Monitored Articles,571014
2019-05-30,Article Count,0
2019-05-30,Total Monitored Articles,554953
2019-05-31,Article Count,0
2019-05-31,Total Monitored Articles,538059
2019-06-01,Article Count,0
2019-06-01,Total Monitored Articles,349368
2019-06-02,Article Count,0
2019-06-02,Total Monitored Articles,295119
2019-06-03,Article Count,0
2019-06-03,Total Monitored Articles,520036
2019-06-04,Article Count,0
2019-06-04,Total Monitored Articles,551818
2019-06-05,Article Count,1
2019-06-05,Total Monitored Articles,545910
2019-06-06,Article Count,0
2019-06-06,Total Monitored Articles,547521
2019-06-07,Article Count,0
2019-06-07,Total Monitored Articles,518061
2019-06-08,Article Count,0
2019-06-08,Total Monitored Articles,335951
2019-06-09,Article Count,0
2019-06-09,Total Monitored Articles,305141
2019-06-10,Article Count,0
2019-06-10,Total Monitored Articles,506985
2019-06-11,Article Count,1
2019-06-11,Total Monitored Articles,566933
2019-06-12,Article Count,1
2019-06-12,Total Monitored Articles,570073
2019-06-13,Article Count,2
2019-06-13,Total Monitored Articles,565204
2019-06-14,Article Count,0
2019-06-14,Total Monitored Articles,531773
2019-06-15,Article Count,0
2019-06-15,Total Monitored Articles,330545
2019-06-16,Article Count,0
2019-06-16,Total Monitored Articles,300557
2019-06-17,Article Count,0
2019-06-17,Total Monitored Articles,469557
2019-06-18,Article Count,10
2019-06-18,Total Monitored Articles,548269
2019-06-19,Article Count,1
2019-06-19,Total Monitored Articles,546694
2019-06-20,Article Count,0
2019-06-20,Total Monitored Articles,532580
2019-06-21,Article Count,0
2019-06-21,Total Monitored Articles,514540
2019-06-22,Article Count,0
2019-06-22,Total Monitored Articles,317482
2019-06-23,Article Count,3
2019-06-23,Total Monitored Articles,278915
2019-06-24,Article Count,0
2019-06-24,Total Monitored Articles,501889
2019-06-25,Article Count,2
2019-06-25,Total Monitored Articles,533291
2019-06-26,Article Count,0
2019-06-26,Total Monitored Articles,559876
2019-06-27,Article Count,0
2019-06-27,Total Monitored Articles,559529
2019-06-28,Article Count,0
2019-06-28,Total Monitored Articles,523192
2019-06-29,Article Count,0
2019-06-29,Total Monitored Articles,332558
2019-06-30,Article Count,1
2019-06-30,Total Monitored Articles,306767
2019-07-01,Article Count,1
2019-07-01,Total Monitored Articles,501715
2019-07-02,Article Count,0
2019-07-02,Total Monitored Articles,533759
2019-07-03,Article Count,0
2019-07-03,Total Monitored Articles,545890
2019-07-04,Article Count,0
2019-07-04,Total Monitored Articles,490272
2019-07-05,Article Count,2
2019-07-05,Total Monitored Articles,477685
2019-07-06,Article Count,0
2019-07-06,Total Monitored Articles,312638
2019-07-07,Article Count,0
2019-07-07,Total Monitored Articles,299153
2019-07-08,Article Count,1
2019-07-08,Total Monitored Articles,494895
2019-07-09,Article Count,0
2019-07-09,Total Monitored Articles,532760
2019-07-10,Article Count,0
2019-07-10,Total Monitored Articles,545918
2019-07-11,Article Count,1
2019-07-11,Total Monitored Articles,543604
2019-07-12,Article Count,2
2019-07-12,Total Monitored Articles,516277
2019-07-13,Article Count,1
2019-07-13,Total Monitored Articles,324067
2019-07-14,Article Count,1
2019-07-14,Total Monitored Articles,300689
2019-07-15,Article Count,0
2019-07-15,Total Monitored Articles,496030
2019-07-16,Article Count,1
2019-07-16,Total Monitored Articles,541094
2019-07-17,Article Count,1
2019-07-17,Total Monitored Articles,550809
2019-07-18,Article Count,1
2019-07-18,Total Monitored Articles,551040
2019-07-19,Article Count,2
2019-07-19,Total Monitored Articles,511797
2019-07-20,Article Count,0
2019-07-20,Total Monitored Articles,320084
2019-07-21,Article Count,2
2019-07-21,Total Monitored Articles,298078
2019-07-22,Article Count,0
2019-07-22,Total Monitored Articles,496101
2019-07-23,Article Count,0
2019-07-23,Total Monitored Articles,542655
2019-07-24,Article Count,2
2019-07-24,Total Monitored Articles,550539
2019-07-25,Article Count,0
2019-07-25,Total Monitored Articles,542767
2019-07-26,Article Count,0
2019-07-26,Total Monitored Articles,510044
2019-07-27,Article Count,0
2019-07-27,Total Monitored Articles,320494
2019-07-28,Article Count,0
2019-07-28,Total Monitored Articles,293745
2019-07-29,Article Count,0
2019-07-29,Total Monitored Articles,488126
2019-07-30,Article Count,0
2019-07-30,Total Monitored Articles,536137
2019-07-31,Article Count,1
2019-07-31,Total Monitored Articles,551657
2019-08-01,Article Count,0
2019-08-01,Total Monitored Articles,544051
2019-08-02,Article Count,0
2019-08-02,Total Monitored Articles,499653
2019-08-03,Article Count,0
2019-08-03,Total Monitored Articles,312326
2019-08-04,Article Count,1
2019-08-04,Total Monitored Articles,299125
2019-08-05,Article Count,1
2019-08-05,Total Monitored Articles,483118
2019-08-06,Article Count,0
2019-08-06,Total Monitored Articles,526808
2019-08-07,Article Count,1
2019-08-07,Total Monitored Articles,540520
2019-08-08,Article Count,3
2019-08-08,Total Monitored Articles,534809
2019-08-09,Article Count,1
2019-08-09,Total Monitored Articles,510275
2019-08-10,Article Count,0
2019-08-10,Total Monitored Articles,319632
2019-08-11,Article Count,0
2019-08-11,Total Monitored Articles,286034
2019-08-12,Article Count,0
2019-08-12,Total Monitored Articles,460999
2019-08-13,Article Count,0
2019-08-13,Total Monitored Articles,494778
2019-08-14,Article Count,1
2019-08-14,Total Monitored Articles,511339
2019-08-15,Article Count,0
2019-08-15,Total Monitored Articles,483144
2019-08-16,Article Count,1
2019-08-16,Total Monitored Articles,488425
2019-08-17,Article Count,0
2019-08-17,Total Monitored Articles,312833
2019-08-18,Article Count,1
2019-08-18,Total Monitored Articles,293299
2019-08-19,Article Count,0
2019-08-19,Total Monitored Articles,482115
2019-08-20,Article Count,0
2019-08-20,Total Monitored Articles,512041
2019-08-21,Article Count,0
2019-08-21,Total Monitored Articles,533452
2019-08-22,Article Count,0
2019-08-22,Total Monitored Articles,529087
2019-08-23,Article Count,3
2019-08-23,Total Monitored Articles,499521
2019-08-24,Article Count,0
2019-08-24,Total Monitored Articles,329635
2019-08-25,Article Count,0
2019-08-25,Total Monitored Articles,298799
2019-08-26,Article Count,0
2019-08-26,Total Monitored Articles,474152
2019-08-27,Article Count,0
2019-08-27,Total Monitored Articles,523306
2019-08-28,Article Count,1
2019-08-28,Total Monitored Articles,538641
2019-08-29,Article Count,0
2019-08-29,Total Monitored Articles,534574
2019-08-30,Article Count,0
2019-08-30,Total Monitored Articles,501716
2019-08-31,Article Count,0
2019-08-31,Total Monitored Articles,321579
2019-09-01,Article Count,0
2019-09-01,Total Monitored Articles,302842
2019-09-02,Article Count,26
2019-09-02,Total Monitored Articles,439231
2019-09-03,Article Count,15
2019-09-03,Total Monitored Articles,510643
2019-09-04,Article Count,1
2019-09-04,Total Monitored Articles,543845
2019-09-05,Article Count,2
2019-09-05,Total Monitored Articles,532554
2019-09-06,Article Count,4
2019-09-06,Total Monitored Articles,507294
2019-09-07,Article Count,0
2019-09-07,Total Monitored Articles,312530
2019-09-08,Article Count,1
2019-09-08,Total Monitored Articles,294714
2019-09-09,Article Count,0
2019-09-09,Total Monitored Articles,489879
2019-09-10,Article Count,2
2019-09-10,Total Monitored Articles,534367
2019-09-11,Article Count,0
2019-09-11,Total Monitored Articles,532778
2019-09-12,Article Count,0
2019-09-12,Total Monitored Articles,537433
2019-09-13,Article Count,0
2019-09-13,Total Monitored Articles,494363
2019-09-14,Article Count,0
2019-09-14,Total Monitored Articles,313982
2019-09-15,Article Count,0
2019-09-15,Total Monitored Articles,295775
2019-09-16,Article Count,0
2019-09-16,Total Monitored Articles,497858
2019-09-17,Article Count,3
2019-09-17,Total Monitored Articles,529118
2019-09-18,Article Count,4
2019-09-18,Total Monitored Articles,542926
2019-09-19,Article Count,0
2019-09-19,Total Monitored Articles,542773
2019-09-20,Article Count,3
2019-09-20,Total Monitored Articles,515934
2019-09-21,Article Count,0
2019-09-21,Total Monitored Articles,310909
2019-09-22,Article Count,1
2019-09-22,Total Monitored Articles,294180
2019-09-23,Article Count,1
2019-09-23,Total Monitored Articles,486570
2019-09-24,Article Count,2
2019-09-24,Total Monitored Articles,528837
2019-09-25,Article Count,1
2019-09-25,Total Monitored Articles,539615
2019-09-26,Article Count,0
2019-09-26,Total Monitored Articles,533764
2019-09-27,Article Count,1
2019-09-27,Total Monitored Articles,509849
2019-09-28,Article Count,1
2019-09-28,Total Monitored Articles,308315
2019-09-29,Article Count,1
2019-09-29,Total Monitored Articles,287903
2019-09-30,Article Count,0
2019-09-30,Total Monitored Articles,437102
2019-10-01,Article Count,0
2019-10-01,Total Monitored Articles,514340
2019-10-02,Article Count,0
2019-10-02,Total Monitored Articles,505415
2019-10-03,Article Count,0
2019-10-03,Total Monitored Articles,503247
2019-10-04,Article Count,0
2019-10-04,Total Monitored Articles,487461
2019-10-05,Article Count,0
2019-10-05,Total Monitored Articles,302322
2019-10-06,Article Count,0
2019-10-06,Total Monitored Articles,272004
2019-10-07,Article Count,0
2019-10-07,Total Monitored Articles,462075
2019-10-08,Article Count,0
2019-10-08,Total Monitored Articles,503665
2019-10-09,Article Count,0
2019-10-09,Total Monitored Articles,512282
2019-10-10,Article Count,0
2019-10-10,Total Monitored Articles,522103
2019-10-11,Article Count,0
2019-10-11,Total Monitored Articles,496822
2019-10-12,Article Count,1
2019-10-12,Total Monitored Articles,308536
2019-10-13,Article Count,0
2019-10-13,Total Monitored Articles,276043
2019-10-14,Article Count,2
2019-10-14,Total Monitored Articles,457892
2019-10-15,Article Count,0
2019-10-15,Total Monitored Articles,512878
2019-10-16,Article Count,1
2019-10-16,Total Monitored Articles,534395
2019-10-17,Article Count,2
2019-10-17,Total Monitored Articles,523905
2019-10-18,Article Count,3
2019-10-18,Total Monitored Articles,500159
2019-10-19,Article Count,0
2019-10-19,Total Monitored Articles,299066
2019-10-20,Article Count,0
2019-10-20,Total Monitored Articles,268642
2019-10-21,Article Count,1
2019-10-21,Total Monitored Articles,477898
2019-10-22,Article Count,0
2019-10-22,Total Monitored Articles,513629
2019-10-23,Article Count,1
2019-10-23,Total Monitored Articles,512089
2019-10-24,Article Count,1
2019-10-24,Total Monitored Articles,517482
2019-10-25,Article Count,0
2019-10-25,Total Monitored Articles,492241
2019-10-26,Article Count,0
2019-10-26,Total Monitored Articles,298603
2019-10-27,Article Count,0
2019-10-27,Total Monitored Articles,274414
2019-10-28,Article Count,1
2019-10-28,Total Monitored Articles,457281
2019-10-29,Article Count,0
2019-10-29,Total Monitored Articles,505654
2019-10-30,Article Count,0
2019-10-30,Total Monitored Articles,524098
2019-10-31,Article Count,2
2019-10-31,Total Monitored Articles,512560
2019-11-01,Article Count,0
2019-11-01,Total Monitored Articles,459961
2019-11-02,Article Count,0
2019-11-02,Total Monitored Articles,295527
2019-11-03,Article Count,0
2019-11-03,Total Monitored Articles,273380
2019-11-04,Article Count,0
2019-11-04,Total Monitored Articles,463253
2019-11-05,Article Count,1
2019-11-05,Total Monitored Articles,522583
2019-11-06,Article Count,0
2019-11-06,Total Monitored Articles,549860
2019-11-07,Article Count,1
2019-11-07,Total Monitored Articles,545791
2019-11-08,Article Count,3
2019-11-08,Total Monitored Articles,528410
2019-11-09,Article Count,0
2019-11-09,Total Monitored Articles,316275
2019-11-10,Article Count,1
2019-11-10,Total Monitored Articles,295334
2019-11-11,Article Count,0
2019-11-11,Total Monitored Articles,465415
2019-11-12,Article Count,1
2019-11-12,Total Monitored Articles,517367
2019-11-13,Article Count,0
2019-11-13,Total Monitored Articles,511360
2019-11-14,Article Count,0
2019-11-14,Total Monitored Articles,528162
2019-11-15,Article Count,0
2019-11-15,Total Monitored Articles,480174
2019-11-16,Article Count,0
2019-11-16,Total Monitored Articles,311125
2019-11-17,Article Count,0
2019-11-17,Total Monitored Articles,289902
2019-11-18,Article Count,0
2019-11-18,Total Monitored Articles,482701
2019-11-19,Article Count,1
2019-11-19,Total Monitored Articles,520439
2019-11-20,Article Count,1
2019-11-20,Total Monitored Articles,528295
2019-11-21,Article Count,1
2019-11-21,Total Monitored Articles,523073
2019-11-22,Article Count,0
2019-11-22,Total Monitored Articles,497118
2019-11-23,Article Count,0
2019-11-23,Total Monitored Articles,322908
2019-11-24,Article Count,0
2019-11-24,Total Monitored Articles,297182
2019-11-25,Article Count,1
2019-11-25,Total Monitored Articles,494370
2019-11-26,Article Count,16
2019-11-26,Total Monitored Articles,524684
2019-11-27,Article Count,2
2019-11-27,Total Monitored Articles,511361
2019-11-28,Article Count,1
2019-11-28,Total Monitored Articles,478081
2019-11-29,Article Count,0
2019-11-29,Total Monitored Articles,451226
2019-11-30,Article Count,4
2019-11-30,Total Monitored Articles,304600
2019-12-01,Article Count,15
2019-12-01,Total Monitored Articles,294518
2019-12-02,Article Count,4
2019-12-02,Total Monitored Articles,449521
2019-12-03,Article Count,4
2019-12-03,Total Monitored Articles,525184
2019-12-04,Article Count,5
2019-12-04,Total Monitored Articles,533394
2019-12-05,Article Count,1
2019-12-05,Total Monitored Articles,530550
2019-12-06,Article Count,1
2019-12-06,Total Monitored Articles,500038
2019-12-07,Article Count,0
2019-12-07,Total Monitored Articles,311145
2019-12-08,Article Count,0
2019-12-08,Total Monitored Articles,284834
2019-12-09,Article Count,0
2019-12-09,Total Monitored Articles,478623
2019-12-10,Article Count,0
2019-12-10,Total Monitored Articles,522225
2019-12-11,Article Count,0
2019-12-11,Total Monitored Articles,519311
2019-12-12,Article Count,0
2019-12-12,Total Monitored Articles,508673
2019-12-13,Article Count,1
2019-12-13,Total Monitored Articles,497908
2019-12-14,Article Count,0
2019-12-14,Total Monitored Articles,303003
2019-12-15,Article Count,2
2019-12-15,Total Monitored Articles,268674
2019-12-16,Article Count,0
2019-12-16,Total Monitored Articles,469904
2019-12-17,Article Count,0
2019-12-17,Total Monitored Articles,511633
2019-12-18,Article Count,0
2019-12-18,Total Monitored Articles,517254
2019-12-19,Article Count,0
2019-12-19,Total Monitored Articles,502820
2019-12-20,Article Count,1
2019-12-20,Total Monitored Articles,486812
2019-12-21,Article Count,0
2019-12-21,Total Monitored Articles,304824
2019-12-22,Article Count,0
2019-12-22,Total Monitored Articles,277064
2019-12-23,Article Count,0
2019-12-23,Total Monitored Articles,426760
2019-12-24,Article Count,0
2019-12-24,Total Monitored Articles,389189
2019-12-25,Article Count,0
2019-12-25,Total Monitored Articles,275251
2019-12-26,Article Count,2
2019-12-26,Total Monitored Articles,348402
2019-12-27,Article Count,6
2019-12-27,Total Monitored Articles,395063
2019-12-28,Article Count,1
2019-12-28,Total Monitored Articles,273389
2019-12-29,Article Count,0
2019-12-29,Total Monitored Articles,249511
2019-12-30,Article Count,9
