year,stateTerritory,ibraRegion,forest2018Status,forest2013Status,capadStatus,speciesName,occurrenceCount
1960,New South Wales,South East Corner,forest,forest,not protected,Felis catus,3
1960,New South Wales,South Eastern Highlands,forest,non-forest,not protected,Felis catus,1
1960,New South Wales,South Eastern Queensland,forest,forest,not protected,Felis catus,1
1960,Australian Capital Territory,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,1
1961,Northern Territory,Daly Basin,forest,non-forest,not protected,Felis catus,1
1961,Victoria,Murray Darling Depression,non-forest,non-forest,not protected,Felis catus,1
1961,Victoria,Riverina,non-forest,non-forest,not protected,Felis catus,2
1962,Queensland,Mulga Lands,non-forest,non-forest,not protected,Felis catus,1
1962,Western Australia,Pilbara,non-forest,non-forest,not protected,Felis catus,1
1963,New South Wales,South Eastern Queensland,forest,forest,PA,Felis catus,3
1963,New South Wales,South Eastern Queensland,forest,forest,not protected,Felis catus,2
1963,New South Wales,South Eastern Queensland,non-forest,forest,PA,Felis catus,1
1963,New South Wales,South Eastern Queensland,non-forest,forest,not protected,Felis catus,1
1963,New South Wales,South Eastern Queensland,non-forest,non-forest,not protected,Felis catus,1
1964,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,1
1965,New South Wales,South East Corner,forest,forest,PA,Felis catus,1
1965,Queensland,South Eastern Queensland,forest,non-forest,not protected,Felis catus,1
1965,Queensland,South Eastern Queensland,non-forest,forest,not protected,Felis catus,1
1966,New South Wales,South East Corner,non-forest,forest,not protected,Felis catus,1
1966,New South Wales,South East Corner,forest,forest,not protected,Felis catus,2
1966,New South Wales,South East Corner,non-forest,forest,not protected,Felis catus,1
1966,New South Wales,South Eastern Highlands,forest,forest,not protected,Felis catus,1
1966,New South Wales,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,1
1966,New South Wales,Sydney Basin,non-forest,forest,not protected,Felis catus,1
1966,South Australia,Eyre Yorke Block,non-forest,non-forest,IPA,Felis catus,1
1966,Northern Territory,Central Ranges,non-forest,non-forest,IPA,Felis catus,1
1966,South Australia,Flinders Lofty Block,non-forest,non-forest,not protected,Felis catus,1
1967,New South Wales,Sydney Basin,forest,forest,PA,Felis catus,1
1967,Queensland,Brigalow Belt South,non-forest,non-forest,not protected,Felis catus,1
1967,Victoria,Southern Volcanic Plain,non-forest,non-forest,not protected,Felis catus,1
1967,Northern Territory,MacDonnell Ranges,non-forest,non-forest,not protected,Felis catus,1
1967,Victoria,Murray Darling Depression,non-forest,non-forest,PA,Felis catus,1
1967,Western Australia,Nullarbor,non-forest,non-forest,not protected,Felis catus,1
1968,New South Wales,South East Corner,forest,non-forest,not protected,Felis catus,1
1968,New South Wales,South Eastern Queensland,forest,forest,PA,Felis catus,1
1968,New South Wales,South Eastern Queensland,forest,non-forest,PA,Felis catus,1
1968,New South Wales,South Eastern Queensland,forest,non-forest,not protected,Felis catus,2
1968,New South Wales,South Eastern Queensland,non-forest,non-forest,PA,Felis catus,1
1968,New South Wales,South Eastern Queensland,non-forest,non-forest,not protected,Felis catus,1
1968,Queensland,Brigalow Belt South,forest,forest,PA,Felis catus,1
1968,Queensland,Brigalow Belt South,non-forest,non-forest,not protected,Felis catus,1
1968,South Australia,Eyre Yorke Block,forest,non-forest,not protected,Felis catus,1
1968,South Australia,Eyre Yorke Block,non-forest,non-forest,PA,Felis catus,1
1968,South Australia,Flinders Lofty Block,forest,non-forest,PA,Felis catus,1
1968,Victoria,Victorian Midlands,forest,forest,PA,Felis catus,1
1968,Victoria,Riverina,non-forest,forest,PA,Felis catus,1
1968,Victoria,South East Corner,forest,forest,PA,Felis catus,1
1968,Victoria,South East Corner,forest,forest,not protected,Felis catus,1
1968,Victoria,South Eastern Highlands,forest,forest,PA,Felis catus,2
1968,Victoria,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,1
1968,Victoria,Victorian Midlands,forest,forest,PA,Felis catus,1
1968,Northern Territory,Burt Plain,non-forest,non-forest,not protected,Felis catus,1
1968,Northern Territory,Davenport Murchison Ranges,non-forest,non-forest,not protected,Felis catus,7
1968,Northern Territory,Finke,non-forest,non-forest,not protected,Felis catus,1
1968,Northern Territory,Simpson Strzelecki Dunefields,non-forest,non-forest,not protected,Felis catus,1
1968,South Australia,Eyre Yorke Block,non-forest,non-forest,not protected,Felis catus,2
1968,Western Australia,Nullarbor,non-forest,non-forest,not protected,Felis catus,2
1969,New South Wales,NSW South Western Slopes,non-forest,non-forest,not protected,Felis catus,1
1969,New South Wales,South East Corner,forest,forest,not protected,Felis catus,1
1969,New South Wales,South East Corner,non-forest,non-forest,not protected,Felis catus,1
1969,South Australia,Flinders Lofty Block,forest,non-forest,PA,Felis catus,1
1969,South Australia,Kanmantoo,forest,forest,PA,Felis catus,1
1969,South Australia,Naracoorte Coastal Plain,non-forest,forest,not protected,Felis catus,1
1969,South Australia,Naracoorte Coastal Plain,non-forest,non-forest,not protected,Felis catus,1
1969,Victoria,South Eastern Highlands,forest,non-forest,not protected,Felis catus,1
1969,Victoria,South Eastern Highlands,non-forest,forest,not protected,Felis catus,1
1969,Northern Territory,Central Ranges,non-forest,non-forest,IPA,Felis catus,1
1969,Northern Territory,Davenport Murchison Ranges,non-forest,non-forest,not protected,Felis catus,1
1969,Northern Territory,Finke,non-forest,non-forest,not protected,Felis catus,3
1969,Northern Territory,Mitchell Grass Downs,non-forest,non-forest,not protected,Felis catus,2
1969,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,1
1969,Victoria,Victorian Midlands,forest,forest,PA,Felis catus,1
1969,Victoria,Victorian Midlands,forest,forest,not protected,Felis catus,1
1970,New South Wales,Darling Riverine Plains,non-forest,non-forest,not protected,Felis catus,1
1970,New South Wales,South East Corner,forest,forest,not protected,Felis catus,3
1970,New South Wales,South East Corner,non-forest,forest,not protected,Felis catus,1
1970,New South Wales,South East Corner,non-forest,non-forest,not protected,Felis catus,1
1970,New South Wales,South Eastern Highlands,forest,forest,not protected,Felis catus,1
1970,New South Wales,South Eastern Highlands,non-forest,forest,not protected,Felis catus,1
1970,New South Wales,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,1
1970,Queensland,Brigalow Belt South,forest,forest,not protected,Felis catus,1
1970,Queensland,Brigalow Belt South,forest,non-forest,not protected,Felis catus,1
1970,South Australia,Gawler,non-forest,non-forest,not protected,Felis catus,1
1970,South Australia,Kanmantoo,forest,forest,PA,Felis catus,1
1970,South Australia,Murray Darling Depression,non-forest,non-forest,PA,Felis catus,1
1970,Victoria,Southern Volcanic Plain,forest,forest,not protected,Felis catus,1
1970,Victoria,Riverina,non-forest,non-forest,not protected,Felis catus,1
1970,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,1
1970,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,2
1970,Queensland,Brigalow Belt South,forest,forest,not protected,Felis catus,1
1970,New South Wales,NSW North Coast,forest,forest,not protected,Felis catus,1
1970,Northern Territory,Finke,non-forest,non-forest,not protected,Felis catus,4
1970,Northern Territory,Great Sandy Desert,non-forest,non-forest,not protected,Felis catus,1
1970,Northern Territory,Mitchell Grass Downs,non-forest,non-forest,not protected,Felis catus,1
1970,Northern Territory,Sturt Plateau,non-forest,non-forest,not protected,Felis catus,1
1970,Northern Territory,Tanami,non-forest,non-forest,not protected,Felis catus,1
1970,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,1
1971,New South Wales,South East Corner,forest,forest,PA,Felis catus,1
1971,New South Wales,South East Corner,forest,non-forest,PA,Felis catus,1
1971,Queensland,South Eastern Queensland,non-forest,forest,PA,Felis catus,1
1971,South Australia,Flinders Lofty Block,non-forest,forest,PA,Felis catus,1
1971,South Australia,Murray Darling Depression,forest,forest,PA,Felis catus,1
1971,South Australia,Naracoorte Coastal Plain,forest,forest,not protected,Felis catus,1
1971,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,3
1971,Queensland,Central Mackay Coast,non-forest,non-forest,not protected,Felis catus,2
1971,Victoria,South East Coastal Plain,forest,forest,not protected,Felis catus,1
1971,Australian Capital Territory,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,1
1971,Northern Territory,Pine Creek,forest,non-forest,PA,Felis catus,1
1971,Northern Territory,Victoria Bonaparte,non-forest,forest,PA,Felis catus,1
1972,New South Wales,South East Corner,forest,forest,PA,Felis catus,35
1972,New South Wales,South East Corner,forest,non-forest,PA,Felis catus,5
1972,New South Wales,South East Corner,non-forest,forest,PA,Felis catus,1
1972,Queensland,Brigalow Belt South,forest,forest,PA,Felis catus,1
1972,Queensland,Cape York Peninsula,forest,forest,PA,Felis catus,1
1972,Queensland,Cape York Peninsula,forest,forest,not protected,Felis catus,1
1972,South Australia,Murray Darling Depression,forest,forest,PA,Felis catus,1
1972,South Australia,Naracoorte Coastal Plain,forest,non-forest,PA,Felis catus,1
1972,South Australia,Naracoorte Coastal Plain,forest,non-forest,not protected,Felis catus,1
1972,Victoria,South East Corner,forest,forest,not protected,Felis catus,2
1972,Victoria,South East Coastal Plain,non-forest,forest,not protected,Felis catus,1
1972,Victoria,South East Corner,non-forest,non-forest,not protected,Felis catus,1
1972,Victoria,South Eastern Highlands,forest,forest,PA,Felis catus,1
1972,Victoria,South Eastern Highlands,forest,non-forest,PA,Felis catus,1
1972,Victoria,Southern Volcanic Plain,forest,forest,not protected,Felis catus,1
1972,Victoria,Victorian Midlands,forest,forest,not protected,Felis catus,4
1972,Victoria,Victorian Midlands,non-forest,non-forest,not protected,Felis catus,1
1972,Queensland,South Eastern Queensland,forest,forest,PA,Felis catus,2
1972,Queensland,South Eastern Queensland,forest,forest,not protected,Felis catus,1
1972,Queensland,South Eastern Queensland,forest,non-forest,PA,Felis catus,1
1972,Queensland,South Eastern Queensland,non-forest,non-forest,not protected,Felis catus,1
1972,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,1
1972,Australian Capital Territory,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,1
1972,New South Wales,Sydney Basin,forest,forest,PA,Felis catus,1
1972,Northern Territory,Darwin Coastal,non-forest,forest,not protected,Felis catus,1
1972,Northern Territory,Darwin Coastal,non-forest,non-forest,PA,Felis catus,6
1972,Northern Territory,Darwin Coastal,non-forest,non-forest,not protected,Felis catus,3
1972,Northern Territory,Pine Creek,forest,non-forest,PA,Felis catus,1
1973,New South Wales,NSW North Coast,non-forest,non-forest,PA,Felis catus,1
1973,New South Wales,South East Corner,forest,forest,PA,Felis catus,2
1973,New South Wales,South East Corner,non-forest,non-forest,PA,Felis catus,1
1973,New South Wales,Sydney Basin,non-forest,forest,not protected,Felis catus,1
1973,Queensland,Brigalow Belt South,non-forest,non-forest,not protected,Felis catus,1
1973,Queensland,Cape York Peninsula,non-forest,forest,PA,Felis catus,1
1973,South Australia,Kanmantoo,forest,forest,PA,Felis catus,2
1973,South Australia,Kanmantoo,forest,non-forest,not protected,Felis catus,1
1973,South Australia,Kanmantoo,non-forest,non-forest,not protected,Felis catus,1
1973,Victoria,Murray Darling Depression,forest,non-forest,PA,Felis catus,1
1973,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,1
1973,Victoria,South East Corner,forest,forest,not protected,Felis catus,1
1973,Victoria,South Eastern Highlands,forest,forest,PA,Felis catus,1
1973,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,1
1973,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,1
1973,Victoria,Victorian Midlands,forest,forest,PA,Felis catus,2
1973,Victoria,Victorian Midlands,forest,forest,not protected,Felis catus,1
1973,Victoria,Australian Alps,forest,forest,not protected,Felis catus,1
1973,Victoria,South East Coastal Plain,forest,non-forest,not protected,Felis catus,2
1973,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,2
1973,Victoria,South Eastern Highlands,forest,non-forest,not protected,Felis catus,1
1973,Northern Territory,Darwin Coastal,non-forest,non-forest,PA,Felis catus,1
1973,Northern Territory,Davenport Murchison Ranges,non-forest,non-forest,not protected,Felis catus,1
1973,Queensland,Brigalow Belt North,non-forest,non-forest,not protected,Felis catus,1
1973,Queensland,Mitchell Grass Downs,non-forest,non-forest,not protected,Felis catus,4
1973,Victoria,Murray Darling Depression,forest,non-forest,PA,Felis catus,1
1973,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,1
1973,Victoria,Southern Volcanic Plain,non-forest,forest,not protected,Felis catus,2
1973,Victoria,Southern Volcanic Plain,non-forest,non-forest,PA,Felis catus,1
1973,Victoria,Southern Volcanic Plain,non-forest,non-forest,not protected,Felis catus,1
1974,New South Wales,NSW North Coast,forest,forest,not protected,Felis catus,1
1974,New South Wales,NSW North Coast,non-forest,non-forest,not protected,Felis catus,1
1974,New South Wales,South East Corner,forest,non-forest,PA,Felis catus,1
1974,New South Wales,South Eastern Queensland,forest,forest,PA,Felis catus,1
1974,New South Wales,Sydney Basin,non-forest,forest,PA,Felis catus,1
1974,Queensland,South Eastern Queensland,forest,forest,PA,Felis catus,1
1974,Queensland,South Eastern Queensland,non-forest,forest,PA,Felis catus,1
1974,South Australia,Flinders Lofty Block,forest,forest,PA,Felis catus,1
1974,South Australia,Murray Darling Depression,forest,forest,PA,Felis catus,3
1974,South Australia,Naracoorte Coastal Plain,non-forest,non-forest,not protected,Felis catus,3
1974,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,1
1974,Victoria,South Eastern Highlands,forest,forest,PA,Felis catus,3
1974,Victoria,Southern Volcanic Plain,non-forest,forest,not protected,Felis catus,1
1974,Victoria,Australian Alps,forest,forest,not protected,Felis catus,1
1974,Victoria,South East Corner,non-forest,non-forest,not protected,Felis catus,1
1974,Victoria,South Eastern Highlands,forest,forest,PA,Felis catus,1
1974,Victoria,Victorian Midlands,forest,forest,not protected,Felis catus,1
1974,Queensland,Central Mackay Coast,non-forest,forest,not protected,Felis catus,1
1974,Queensland,South Eastern Queensland,forest,forest,PA,Felis catus,4
1974,Queensland,South Eastern Queensland,forest,forest,not protected,Felis catus,2
1974,Queensland,South Eastern Queensland,forest,non-forest,not protected,Felis catus,1
1974,Queensland,South Eastern Queensland,non-forest,forest,not protected,Felis catus,1
1974,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,1
1974,Victoria,Southern Volcanic Plain,non-forest,non-forest,not protected,Felis catus,1
1974,Northern Territory,Arnhem Plateau,non-forest,non-forest,not protected,Felis catus,1
1974,Northern Territory,Darwin Coastal,non-forest,non-forest,PA,Felis catus,1
1974,South Australia,Kanmantoo,non-forest,non-forest,not protected,Felis catus,1
1974,Tasmania,Tasmanian Northern Slopes,forest,forest,not protected,Felis catus,1
1974,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,1
1974,Victoria,Southern Volcanic Plain,non-forest,forest,not protected,Felis catus,1
1975,New South Wales,NSW North Coast,forest,forest,PA,Felis catus,1
1975,New South Wales,NSW North Coast,non-forest,non-forest,not protected,Felis catus,1
1975,New South Wales,Riverina,non-forest,non-forest,PA,Felis catus,1
1975,New South Wales,South East Corner,forest,forest,PA,Felis catus,1
1975,New South Wales,South East Corner,forest,forest,not protected,Felis catus,6
1975,New South Wales,South Eastern Highlands,forest,forest,PA,Felis catus,1
1975,New South Wales,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,1
1975,New South Wales,Sydney Basin,forest,forest,PA,Felis catus,4
1975,New South Wales,Sydney Basin,forest,non-forest,PA,Felis catus,1
1975,Northern Territory,Simpson Strzelecki Dunefields,non-forest,non-forest,not protected,Felis catus,1
1975,Queensland,Brigalow Belt North,non-forest,non-forest,not protected,Felis catus,1
1975,Queensland,Cape York Peninsula,forest,forest,PA,Felis catus,1
1975,Queensland,Channel Country,non-forest,non-forest,not protected,Felis catus,18
1975,Queensland,Mulga Lands,non-forest,non-forest,not protected,Felis catus,1
1975,Queensland,Nandewar,non-forest,non-forest,not protected,Felis catus,1
1975,Queensland,South Eastern Queensland,non-forest,non-forest,not protected,Felis catus,2
1975,South Australia,Channel Country,non-forest,non-forest,PA,Felis catus,1
1975,South Australia,Channel Country,non-forest,non-forest,not protected,Felis catus,1
1975,South Australia,Flinders Lofty Block,non-forest,non-forest,PA,Felis catus,1
1975,South Australia,Murray Darling Depression,forest,forest,PA,Felis catus,1
1975,South Australia,Murray Darling Depression,non-forest,non-forest,PA,Felis catus,1
1975,South Australia,Naracoorte Coastal Plain,non-forest,non-forest,not protected,Felis catus,1
1975,South Australia,Simpson Strzelecki Dunefields,non-forest,non-forest,PA,Felis catus,1
1975,Victoria,South Eastern Highlands,non-forest,forest,not protected,Felis catus,1
1975,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,3
1975,Victoria,Southern Volcanic Plain,non-forest,non-forest,not protected,Felis catus,2
1975,Victoria,Victorian Midlands,forest,forest,PA,Felis catus,1
1975,Victoria,Victorian Midlands,forest,non-forest,PA,Felis catus,1
1975,Victoria,Victorian Midlands,non-forest,non-forest,not protected,Felis catus,1
1975,Queensland,Brigalow Belt North,forest,forest,PA,Felis catus,1
1975,Queensland,South Eastern Queensland,forest,forest,PA,Felis catus,3
1975,Queensland,South Eastern Queensland,forest,forest,not protected,Felis catus,1
1975,Queensland,South Eastern Queensland,forest,non-forest,not protected,Felis catus,1
1975,Queensland,South Eastern Queensland,non-forest,forest,PA,Felis catus,1
1975,Queensland,South Eastern Queensland,non-forest,forest,not protected,Felis catus,1
1975,Queensland,South Eastern Queensland,non-forest,non-forest,not protected,Felis catus,1
1975,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,1
1975,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,1
1975,Victoria,South Eastern Highlands,non-forest,non-forest,PA,Felis catus,1
1975,Victoria,Southern Volcanic Plain,non-forest,non-forest,not protected,Felis catus,2
1976,New South Wales,NSW North Coast,forest,forest,PA,Felis catus,4
1976,New South Wales,NSW South Western Slopes,non-forest,non-forest,not protected,Felis catus,3
1976,New South Wales,South East Corner,forest,forest,not protected,Felis catus,1
1976,New South Wales,South Eastern Queensland,forest,forest,PA,Felis catus,1
1976,Queensland,Channel Country,non-forest,non-forest,not protected,Felis catus,14
1976,Queensland,Mulga Lands,forest,non-forest,not protected,Felis catus,6
1976,Queensland,Mulga Lands,non-forest,non-forest,PA,Felis catus,6
1976,Queensland,South Eastern Queensland,forest,forest,PA,Felis catus,1
1976,South Australia,Flinders Lofty Block,forest,forest,PA,Felis catus,1
1976,South Australia,Flinders Lofty Block,non-forest,forest,not protected,Felis catus,1
1976,South Australia,Flinders Lofty Block,non-forest,non-forest,not protected,Felis catus,1
1976,South Australia,Gawler,non-forest,non-forest,not protected,Felis catus,1
1976,South Australia,Murray Darling Depression,forest,non-forest,PA,Felis catus,1
1976,South Australia,Murray Darling Depression,non-forest,non-forest,not protected,Felis catus,1
1976,South Australia,Naracoorte Coastal Plain,non-forest,non-forest,not protected,Felis catus,1
1976,Victoria,Furneaux,non-forest,forest,PA,Felis catus,1
1976,Victoria,South East Coastal Plain,forest,forest,PA,Felis catus,1
1976,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,1
1976,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,1
1976,Victoria,South Eastern Highlands,non-forest,non-forest,PA,Felis catus,1
1976,Victoria,Southern Volcanic Plain,non-forest,non-forest,not protected,Felis catus,1
1976,Victoria,Victorian Midlands,forest,forest,not protected,Felis catus,1
1976,Victoria,Victorian Midlands,non-forest,non-forest,not protected,Felis catus,2
1976,Victoria,Naracoorte Coastal Plain,non-forest,forest,PA,Felis catus,2
1976,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,1
1976,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,2
1976,Victoria,Victorian Midlands,forest,forest,PA,Felis catus,1
1976,Queensland,Brigalow Belt North,non-forest,non-forest,not protected,Felis catus,1
1976,Queensland,South Eastern Queensland,forest,forest,not protected,Felis catus,1
1976,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,2
1976,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,1
1976,Victoria,Southern Volcanic Plain,non-forest,non-forest,PA,Felis catus,2
1976,Victoria,Southern Volcanic Plain,non-forest,non-forest,not protected,Felis catus,1
1977,New South Wales,Brigalow Belt South,non-forest,non-forest,not protected,Felis catus,1
1977,New South Wales,Mulga Lands,forest,non-forest,PA,Felis catus,1
1977,New South Wales,NSW North Coast,forest,forest,PA,Felis catus,3
1977,New South Wales,NSW North Coast,non-forest,non-forest,not protected,Felis catus,1
1977,New South Wales,Nandewar,forest,forest,PA,Felis catus,2
1977,New South Wales,South East Corner,forest,non-forest,not protected,Felis catus,1
1977,New South Wales,South East Corner,non-forest,forest,not protected,Felis catus,1
1977,New South Wales,South Eastern Queensland,forest,forest,PA,Felis catus,2
1977,New South Wales,Sydney Basin,forest,forest,PA,Felis catus,1
1977,Queensland,Mulga Lands,non-forest,non-forest,PA,Felis catus,6
1977,Queensland,South Eastern Queensland,forest,forest,PA,Felis catus,1
1977,South Australia,Eyre Yorke Block,non-forest,non-forest,not protected,Felis catus,1
1977,South Australia,Flinders Lofty Block,forest,forest,PA,Felis catus,1
1977,South Australia,Flinders Lofty Block,forest,non-forest,PA,Felis catus,1
1977,South Australia,Murray Darling Depression,forest,non-forest,PA,Felis catus,1
1977,South Australia,Naracoorte Coastal Plain,non-forest,non-forest,PA,Felis catus,1
1977,South Australia,Naracoorte Coastal Plain,non-forest,non-forest,not protected,Felis catus,2
1977,South Australia,Simpson Strzelecki Dunefields,non-forest,non-forest,not protected,Felis catus,2
1977,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,2
1977,Victoria,South East Coastal Plain,forest,non-forest,not protected,Felis catus,1
1977,Victoria,South East Coastal Plain,non-forest,forest,PA,Felis catus,1
1977,Victoria,South East Coastal Plain,non-forest,non-forest,PA,Felis catus,1
1977,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,8
1977,Victoria,South East Corner,forest,forest,PA,Felis catus,1
1977,Victoria,South East Corner,forest,forest,not protected,Felis catus,1
1977,Victoria,South East Corner,forest,non-forest,not protected,Felis catus,1
1977,Victoria,South East Corner,non-forest,non-forest,not protected,Felis catus,5
1977,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,2
1977,Victoria,South Eastern Highlands,forest,non-forest,not protected,Felis catus,2
1977,Victoria,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,4
1977,Queensland,Brigalow Belt South,non-forest,non-forest,not protected,Felis catus,1
1977,Queensland,Mulga Lands,non-forest,non-forest,not protected,Felis catus,1
1977,Victoria,Furneaux,forest,forest,PA,Felis catus,2
1977,Victoria,South East Coastal Plain,forest,non-forest,not protected,Felis catus,2
1977,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,5
1977,Victoria,South East Corner,forest,forest,PA,Felis catus,1
1977,Victoria,South East Corner,forest,forest,not protected,Felis catus,1
1977,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,6
1978,New South Wales,Brigalow Belt South,non-forest,forest,not protected,Felis catus,1
1978,New South Wales,Brigalow Belt South,non-forest,non-forest,not protected,Felis catus,1
1978,New South Wales,Darling Riverine Plains,non-forest,forest,not protected,Felis catus,1
1978,New South Wales,NSW South Western Slopes,forest,forest,PA,Felis catus,2
1978,New South Wales,NSW South Western Slopes,forest,forest,not protected,Felis catus,2
1978,New South Wales,NSW South Western Slopes,non-forest,forest,PA,Felis catus,3
1978,New South Wales,South East Corner,forest,forest,PA,Felis catus,2
1978,New South Wales,South East Corner,forest,forest,not protected,Felis catus,1
1978,New South Wales,South East Corner,forest,non-forest,PA,Felis catus,1
1978,New South Wales,South East Corner,forest,non-forest,not protected,Felis catus,1
1978,New South Wales,South East Corner,non-forest,non-forest,not protected,Felis catus,1
1978,New South Wales,South Eastern Highlands,forest,forest,not protected,Felis catus,1
1978,New South Wales,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,2
1978,New South Wales,Sydney Basin,forest,forest,PA,Felis catus,5
1978,New South Wales,Sydney Basin,forest,non-forest,PA,Felis catus,1
1978,Queensland,Cape York Peninsula,forest,forest,PA,Felis catus,1
1978,Queensland,Cape York Peninsula,forest,non-forest,PA,Felis catus,1
1978,Queensland,South Eastern Queensland,forest,forest,not protected,Felis catus,2
1978,South Australia,Flinders Lofty Block,forest,forest,PA,Felis catus,3
1978,South Australia,Naracoorte Coastal Plain,non-forest,non-forest,not protected,Felis catus,1
1978,Victoria,Australian Alps,forest,forest,PA,Felis catus,1
1978,Victoria,South East Corner,non-forest,non-forest,PA,Felis catus,2
1978,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,1
1978,Victoria,South Eastern Highlands,non-forest,non-forest,PA,Felis catus,1
1978,Victoria,Victorian Midlands,forest,forest,PA,Felis catus,1
1978,Victoria,Victorian Midlands,non-forest,non-forest,not protected,Felis catus,2
1978,Victoria,Australian Alps,forest,forest,PA,Felis catus,2
1978,Victoria,Australian Alps,forest,forest,not protected,Felis catus,1
1978,Victoria,Australian Alps,non-forest,forest,PA,Felis catus,1
1978,Victoria,Murray Darling Depression,non-forest,non-forest,not protected,Felis catus,2
1978,Victoria,South East Coastal Plain,forest,non-forest,not protected,Felis catus,1
1978,Victoria,South East Coastal Plain,non-forest,forest,PA,Felis catus,2
1978,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,10
1978,Victoria,South East Corner,forest,forest,not protected,Felis catus,1
1978,Victoria,South East Corner,forest,non-forest,not protected,Felis catus,1
1978,Victoria,South Eastern Highlands,forest,forest,PA,Felis catus,5
1978,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,12
1978,Victoria,South Eastern Highlands,forest,non-forest,PA,Felis catus,1
1978,Victoria,Victorian Midlands,non-forest,forest,not protected,Felis catus,1
1978,Victoria,Australian Alps,forest,forest,not protected,Felis catus,1
1978,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,3
1978,Victoria,South East Corner,forest,forest,not protected,Felis catus,1
1978,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,2
1978,New South Wales,South Eastern Queensland,forest,forest,PA,Felis catus,1
1978,Northern Territory,Mitchell Grass Downs,non-forest,non-forest,not protected,Felis catus,1
1978,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,1
1978,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,1
1979,New South Wales,Brigalow Belt South,forest,forest,PA,Felis catus,1
1979,New South Wales,Murray Darling Depression,forest,forest,PA,Felis catus,1
1979,New South Wales,NSW North Coast,forest,forest,PA,Felis catus,1
1979,New South Wales,NSW South Western Slopes,forest,forest,PA,Felis catus,2
1979,New South Wales,NSW South Western Slopes,forest,forest,not protected,Felis catus,1
1979,New South Wales,NSW South Western Slopes,forest,non-forest,PA,Felis catus,1
1979,New South Wales,NSW South Western Slopes,non-forest,forest,not protected,Felis catus,1
1979,New South Wales,Simpson Strzelecki Dunefields,non-forest,non-forest,not protected,Felis catus,1
1979,New South Wales,South East Corner,forest,forest,PA,Felis catus,1
1979,New South Wales,South East Corner,forest,forest,not protected,Felis catus,1
1979,Queensland,Cape York Peninsula,forest,forest,PA,Felis catus,4
1979,Queensland,Cape York Peninsula,forest,forest,not protected,Felis catus,2
1979,Queensland,Cape York Peninsula,non-forest,non-forest,not protected,Felis catus,1
1979,Queensland,South Eastern Queensland,non-forest,non-forest,not protected,Felis catus,1
1979,South Australia,Flinders Lofty Block,non-forest,non-forest,not protected,Felis catus,2
1979,South Australia,Kanmantoo,forest,non-forest,not protected,Felis catus,1
1979,Victoria,Naracoorte Coastal Plain,forest,forest,not protected,Felis catus,1
