year,state,lambs,rams,ewes,lamb_sheep_shorn,sheep_flock,sheep_purchased,cats_occurrence_total,cats_2013_forest,cats_2013_non_forest,cats_2018_forest,cats_2018_non_forest
1998,Victoria,1127.0,61.0,2491.0,6208.0,5100,1865.0,30.0,16.0,14.0,16.0,14.0
1998,Western Australia,3045.0,190.0,7013.0,15392.0,13273,817.0,,,,,
1999,New South Wales,2596.0,182.0,6636.0,12383.0,11541,862.0,62.0,35.0,27.0,32.0,30.0
1999,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,24.0,1.0,23.0,2.0,22.0
1999,Queensland,2689.0,183.0,6423.0,14226.0,12986,648.0,26.0,10.0,16.0,10.0,16.0
1999,South Australia,2070.0,114.0,4776.0,9306.0,9017,409.0,42.0,3.0,39.0,4.0,38.0
1999,Tasmania,574.0,25.0,1141.0,2754.0,2497,129.0,,,,,
1999,Victoria,1197.0,76.0,2670.0,5753.0,5367,731.0,33.0,16.0,17.0,18.0,15.0
1999,Western Australia,2593.0,179.0,6841.0,13967.0,13356,800.0,,,,,
2000,New South Wales,3237.0,145.0,6879.0,12509.0,12467,788.0,102.0,51.0,51.0,54.0,48.0
2000,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,12.0,2.0,10.0,4.0,8.0
2000,Queensland,1551.0,74.0,4851.0,10513.0,10093,1061.0,21.0,11.0,10.0,10.0,11.0
2000,South Australia,2352.0,123.0,4472.0,8703.0,8486,698.0,9.0,1.0,8.0,1.0,8.0
2000,Tasmania,491.0,22.0,982.0,2520.0,2262,203.0,,,,,
2000,Victoria,1217.0,58.0,2408.0,5037.0,4694,765.0,28.0,18.0,10.0,15.0,13.0
2000,Western Australia,3335.0,202.0,7018.0,13896.0,12409,865.0,,,,,
2001,New South Wales,3127.0,136.0,6833.0,13372.0,11933,776.0,128.0,76.0,52.0,84.0,44.0
2001,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,44.0,4.0,40.0,6.0,38.0
2001,Queensland,2625.0,140.0,6505.0,15704.0,13912,1119.0,29.0,13.0,16.0,13.0,16.0
2001,South Australia,2512.0,112.0,4548.0,7883.0,8270,600.0,16.0,6.0,10.0,8.0,8.0
2001,Tasmania,359.0,23.0,907.0,2098.0,1964,110.0,,,,,
2001,Victoria,1567.0,66.0,2637.0,5217.0,5094,711.0,40.0,20.0,20.0,19.0,21.0
2001,Western Australia,2479.0,203.0,7577.0,15747.0,12836,588.0,,,,,
2002,New South Wales,2624.0,131.0,5996.0,11360.0,10544,770.0,104.0,46.0,58.0,55.0,49.0
2002,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,34.0,2.0,32.0,5.0,29.0
2002,Queensland,1421.0,103.0,5020.0,11123.0,9707,584.0,24.0,17.0,7.0,21.0,3.0
2002,South Australia,2148.0,137.0,5372.0,8857.0,8938,692.0,18.0,4.0,14.0,6.0,12.0
2002,Tasmania,548.0,28.0,1033.0,2431.0,2431,139.0,,,,,
2002,Victoria,1602.0,86.0,2691.0,5518.0,5072,687.0,17.0,8.0,9.0,7.0,10.0
2002,Western Australia,2315.0,177.0,6419.0,12594.0,11169,428.0,,,,,
2003,New South Wales,,,,10498.0,8903,764.0,143.0,68.0,75.0,74.0,69.0
2003,Northern Territory,,,,0.0,0,0.0,8.0,4.0,4.0,6.0,2.0
2003,Queensland,,,,12477.0,10214,313.0,23.0,18.0,5.0,19.0,4.0
2003,South Australia,,,,8674.0,8227,535.0,27.0,5.0,22.0,7.0,20.0
2003,Tasmania,,,,2333.0,2002,66.0,20.0,0.0,20.0,0.0,20.0
2003,Victoria,,,,4527.0,4207,463.0,70.0,26.0,44.0,24.0,46.0
2003,Western Australia,,,,9055.0,9943,955.0,,,,,
2004,New South Wales,,,,9242.0,9596,609.0,141.0,81.0,60.0,80.0,61.0
2004,Northern Territory,,,,0.0,0,0.0,11.0,0.0,11.0,2.0,9.0
2004,Queensland,,,,12745.0,11871,551.0,16.0,10.0,6.0,9.0,7.0
2004,South Australia,,,,8976.0,8462,479.0,48.0,8.0,40.0,14.0,34.0
2004,Tasmania,,,,2112.0,1879,66.0,,,,,
2004,Victoria,,,,4232.0,4158,579.0,48.0,17.0,31.0,23.0,25.0
2004,Western Australia,,,,11210.0,10948,889.0,2.0,0.0,2.0,0.0,2.0
2005,New South Wales,2403.0,114.0,6102.0,10916.0,10041,717.0,99.0,55.0,44.0,56.0,43.0
2005,Northern Territory,0.0,0.0,0.0,0.0,24,0.0,16.0,3.0,13.0,3.0,13.0
2005,Queensland,1470.0,73.0,4197.0,8015.0,7399,548.0,6.0,4.0,2.0,4.0,2.0
2005,South Australia,1975.0,168.0,4879.0,9072.0,8351,445.0,141.0,46.0,95.0,56.0,85.0
2005,Tasmania,552.0,34.0,1239.0,2578.0,2333,58.0,,,,,
2005,Victoria,1446.0,78.0,2727.0,5140.0,4977,547.0,59.0,29.0,30.0,30.0,29.0
2005,Western Australia,2756.0,196.0,7374.0,12084.0,11968,594.0,,,,,
2006,New South Wales,2304.0,102.0,5753.0,9766.0,9473,1232.0,80.0,50.0,30.0,49.0,31.0
2006,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,16.0,0.0,16.0,0.0,16.0
2006,Queensland,1350.0,86.0,3642.0,7238.0,6764,231.0,8.0,5.0,3.0,4.0,4.0
2006,South Australia,1931.0,129.0,4999.0,8533.0,8102,588.0,65.0,11.0,54.0,11.0,54.0
2006,Tasmania,478.0,23.0,1164.0,2396.0,2156,121.0,,,,,
2006,Victoria,1449.0,48.0,2603.0,4762.0,4691,583.0,70.0,49.0,21.0,48.0,22.0
2006,Western Australia,3321.0,168.0,5627.0,10758.0,10244,1492.0,,,,,
2007,New South Wales,2476.0,110.0,5701.0,10074.0,9484,932.0,107.0,57.0,50.0,56.0,51.0
2007,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,8.0,2.0,6.0,3.0,5.0
2007,Queensland,1130.0,81.0,2739.0,6087.0,4940,231.0,15.0,11.0,4.0,11.0,4.0
2007,South Australia,2593.0,132.0,5488.0,9259.0,8709,609.0,222.0,21.0,201.0,22.0,200.0
2007,Tasmania,542.0,24.0,1041.0,2832.0,1980,83.0,,,,,
2007,Victoria,1237.0,62.0,2386.0,4557.0,4142,677.0,88.0,63.0,25.0,64.0,24.0
2007,Western Australia,2251.0,191.0,6631.0,12949.0,10509,596.0,,,,,
2008,New South Wales,2459.0,115.0,5467.0,9457.0,9142,543.0,72.0,46.0,26.0,49.0,23.0
2008,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,11.0,2.0,9.0,1.0,10.0
2008,Queensland,1060.0,96.0,2901.0,4981.0,5210,261.0,15.0,10.0,5.0,8.0,7.0
2008,South Australia,2343.0,108.0,5073.0,8631.0,8158,418.0,63.0,6.0,57.0,7.0,56.0
2008,Tasmania,414.0,27.0,950.0,1983.0,1665,99.0,,,,,
2008,Victoria,1269.0,55.0,2443.0,4442.0,4237,458.0,107.0,91.0,16.0,94.0,13.0
2008,Western Australia,1934.0,139.0,5067.0,7922.0,7965,526.0,4.0,0.0,4.0,0.0,4.0
2009,New South Wales,2100.0,105.0,5007.0,8402.0,8118,532.0,152.0,86.0,66.0,85.0,67.0
2009,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,9.0,2.0,7.0,3.0,6.0
2009,Queensland,1020.0,82.0,2640.0,5046.0,5197,112.0,44.0,15.0,29.0,13.0,31.0
2009,South Australia,2376.0,105.0,4552.0,8270.0,7459,469.0,196.0,18.0,178.0,20.0,176.0
2009,Tasmania,368.0,23.0,900.0,1749.0,1485,71.0,,,,,
2009,Victoria,1077.0,43.0,2160.0,3850.0,3661,383.0,51.0,30.0,21.0,35.0,16.0
