year,state,lambs,rams,ewes,lamb_sheep_shorn,sheep_flock,sheep_purchased,cats_occurrence_total,cats_2013_forest,cats_2013_non_forest,cats_2018_forest,cats_2018_non_forest
1992,Victoria,925.0,64.0,64.0,5089.0,4609.0,640.0,69.0,40.0,29.0,41.0,28.0
1992,Western Australia,2468.0,170.0,170.0,15509.0,15487.0,1575.0,1.0,0.0,1.0,0.0,1.0
1993,Australian Capital Territory,,,,,,,17.0,10.0,7.0,12.0,5.0
1993,New South Wales,2701.0,170.0,170.0,14453.0,12908.0,1042.0,66.0,50.0,16.0,50.0,16.0
1993,Northern Territory,0.0,0.0,0.0,5.0,5.0,0.0,15.0,2.0,13.0,2.0,13.0
1993,Queensland,2058.0,179.0,179.0,16291.0,15241.0,734.0,92.0,53.0,39.0,45.0,47.0
1993,South Australia,2447.0,107.0,107.0,10194.0,9644.0,835.0,8.0,0.0,8.0,0.0,8.0
1993,Tasmania,512.0,28.0,28.0,2545.0,2367.0,103.0,1.0,1.0,0.0,1.0,0.0
1993,Victoria,1156.0,60.0,60.0,5833.0,5312.0,723.0,38.0,24.0,14.0,25.0,13.0
1993,Western Australia,3457.0,236.0,236.0,18454.0,17051.0,929.0,,,,,
1994,Australian Capital Territory,,,,,,,3.0,3.0,0.0,3.0,0.0
1994,New South Wales,3424.0,158.0,158.0,13941.0,13159.0,905.0,89.0,50.0,39.0,58.0,31.0
1994,Northern Territory,0.0,0.0,0.0,8.0,0.0,0.0,42.0,3.0,39.0,4.0,38.0
1994,Queensland,1743.0,141.0,141.0,14282.0,12988.0,715.0,64.0,35.0,29.0,32.0,32.0
1994,South Australia,2319.0,121.0,121.0,11434.0,10529.0,1010.0,42.0,0.0,42.0,5.0,37.0
1994,Tasmania,576.0,30.0,30.0,2453.0,2454.0,131.0,,,,,
1994,Victoria,1053.0,56.0,56.0,5071.0,4684.0,647.0,27.0,17.0,10.0,17.0,10.0
1994,Western Australia,3309.0,244.0,244.0,18311.0,16873.0,933.0,,,,,
1995,New South Wales,2521.0,162.0,162.0,13471.0,12034.0,513.0,93.0,41.0,52.0,31.0,62.0
1995,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,12.0,1.0,12.0
1995,Queensland,2413.0,168.0,168.0,13645.0,13628.0,1225.0,44.0,21.0,23.0,13.0,31.0
1995,South Australia,2437.0,118.0,118.0,10647.0,9731.0,672.0,56.0,10.0,46.0,8.0,48.0
1995,Tasmania,448.0,28.0,28.0,2484.0,2111.0,321.0,,,,,
1995,Victoria,1041.0,64.0,64.0,5048.0,4455.0,628.0,33.0,18.0,15.0,18.0,15.0
1995,Western Australia,2805.0,250.0,250.0,17177.0,15971.0,1545.0,,,,,
1996,Australian Capital Territory,,,,,,,4.0,2.0,2.0,0.0,4.0
1996,New South Wales,3133.0,157.0,157.0,13514.0,12485.0,814.0,80.0,39.0,41.0,41.0,39.0
1996,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,87.0,1.0,86.0
1996,Queensland,2396.0,169.0,169.0,14146.0,13021.0,539.0,45.0,17.0,28.0,17.0,28.0
1996,South Australia,1797.0,108.0,108.0,10021.0,9351.0,576.0,46.0,0.0,46.0,2.0,44.0
1996,Tasmania,533.0,39.0,39.0,2420.0,2278.0,182.0,1.0,0.0,1.0,0.0,1.0
1996,Victoria,880.0,94.0,94.0,4376.0,4380.0,632.0,39.0,27.0,12.0,22.0,17.0
1996,Western Australia,2911.0,211.0,211.0,19209.0,15864.0,1298.0,,,,,
1997,New South Wales,3089.0,131.0,131.0,12019.0,11685.0,849.0,107.0,76.0,31.0,77.0,30.0
1997,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,114.0,2.0,112.0,3.0,111.0
1997,Queensland,2863.0,179.0,179.0,13069.0,13442.0,1154.0,37.0,29.0,8.0,29.0,8.0
1997,South Australia,2780.0,150.0,150.0,10418.0,10168.0,494.0,50.0,5.0,45.0,10.0,40.0
1997,Tasmania,782.0,45.0,45.0,3002.0,2996.0,135.0,,,,,
